method,size,task,seed,condition,accuracy,precision,f1,recall,fpr,train_seconds
byte_tcn_fusion,4096,behavior14,43,clean,0.9531906381276255,0.9529904109426784,0.9497168774933629,0.9531906381276255,0.003871105119043525,89.833242893219
byte_tcn_fusion,4096,behavior14,43,random_padding:medium,0.9385877175435087,0.9398204494326772,0.9353962888799868,0.9385877175435087,0.005302513292600625,89.833242893219
byte_tcn_fusion,4096,behavior14,43,random_delay:medium,0.9533906781356272,0.9532135765585332,0.9498979257656237,0.9533906781356272,0.0038440896459015187,89.833242893219
byte_tcn_fusion,4096,behavior14,43,traffic_shaping:medium,0.9537907581516303,0.9535523229236302,0.9503051786613107,0.9537907581516303,0.00382824362818985,89.833242893219
byte_tcn_fusion,4096,behavior14,43,combined:medium,0.9395879175835167,0.9410898372948499,0.9362893928328081,0.9395879175835167,0.005210749151836118,89.833242893219
byte_tcn_fusion,4096,behavior14,44,clean,0.9537907581516303,0.9515555433126596,0.9515790742393929,0.9537907581516303,0.003896939830816538,109.44775199890137
byte_tcn_fusion,4096,behavior14,44,random_padding:medium,0.9489897979595919,0.9501487114739537,0.9462247048408371,0.9489897979595919,0.0043970246788481385,109.44775199890137
byte_tcn_fusion,4096,behavior14,44,random_delay:medium,0.9535907181436287,0.9513387119198906,0.9513456540715773,0.9535907181436287,0.003911591845468553,109.44775199890137
byte_tcn_fusion,4096,behavior14,44,traffic_shaping:medium,0.9537907581516303,0.951550676907849,0.9515507117586435,0.9537907581516303,0.0038968094424411165,109.44775199890137
byte_tcn_fusion,4096,behavior14,44,combined:medium,0.9475895179035807,0.9469596984884139,0.9448018861046821,0.9475895179035807,0.004522473326564898,109.44775199890137
byte_tcn_fusion,8100,behavior14,42,clean,0.9525905181036207,0.9493421426450909,0.9478209753648448,0.9525905181036207,0.003944086532811133,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,random_padding:medium,0.8107621524304861,0.8632330659739613,0.8231220077238635,0.8107621524304861,0.015242335169018349,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,random_delay:medium,0.9525905181036207,0.9492943039032758,0.9478694129485291,0.9525905181036207,0.003937043936558337,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,traffic_shaping:medium,0.9523904780956192,0.9496496480149041,0.9476019840731271,0.9523904780956192,0.003970614377667094,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,combined:medium,0.8109621924384877,0.8666864609496868,0.8231556295035936,0.8109621924384877,0.015260703388700772,152.12103128433228
byte_tcn_fusion,8100,behavior14,43,clean,0.953990798159632,0.950974171321653,0.9484598409696915,0.953990798159632,0.0037636780842935195,178.36612248420715
byte_tcn_fusion,8100,behavior14,43,random_padding:medium,0.8461692338467693,0.8864515310458808,0.8518613094007504,0.8461692338467693,0.012160012066719367,178.36612248420715
byte_tcn_fusion,8100,behavior14,43,random_delay:medium,0.9541908381676335,0.9513388683578393,0.9486160815256582,0.9541908381676335,0.0037607333390734217,178.36612248420715
byte_tcn_fusion,8100,behavior14,43,traffic_shaping:medium,0.9541908381676335,0.9510621269713758,0.9487156142853749,0.9541908381676335,0.0037366002254382888,178.36612248420715
byte_tcn_fusion,8100,behavior14,43,combined:medium,0.8473694738947789,0.8869623902492909,0.8526894996599086,0.8473694738947789,0.012120111839195554,178.36612248420715
byte_tcn_fusion,8100,behavior14,44,clean,0.9551910382076415,0.9532245164086021,0.9522835709924204,0.9551910382076415,0.003616812003868035,206.01815128326416
