round_id,round,method,size,task,seed,accuracy,precision,f1,recall,fpr
round1,Round 1: per-pcap stats + session split,cnn1d,4096,behavior14,42,0.953543885420492,0.951742430769784,0.952190481428466,0.953543885420492,0.00477753446336
round1,Round 1: per-pcap stats + session split,cnn1d,4096,binary2,42,0.9985310319500552,0.9985289988771964,0.998529851974116,0.9985310319500552,0.0079927351375332
round1,Round 1: per-pcap stats + session split,cnn1d,784,behavior14,42,0.952717590892398,0.950999206453442,0.9511954795068256,0.952717590892398,0.0048071983310048
round1,Round 1: per-pcap stats + session split,cnn1d,784,binary2,42,0.9992655159750276,0.9992655159750276,0.9992655159750276,0.9992655159750276,0.0035954599230996
round1,Round 1: per-pcap stats + session split,cnn1d,8100,behavior14,42,0.9466580976863752,0.94448086814371,0.9446575541014592,0.9466580976863752,0.0056975683187976
round1,Round 1: per-pcap stats + session split,cnn1d,8100,binary2,42,0.9976129269188396,0.9976065440925465,0.997609085035032,0.9976129269188396,0.0132888753327417
round1,Round 1: per-pcap stats + session split,dt,4096,behavior14,42,0.9999081894968784,0.9999152518432723,0.9999095099175976,0.9999081894968784,6.565126050420168e-06
round1,Round 1: per-pcap stats + session split,dt,4096,binary2,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,dt,784,behavior14,42,0.9999081894968784,0.9999152518432723,0.9999095099175976,0.9999081894968784,6.565126050420168e-06
round1,Round 1: per-pcap stats + session split,dt,784,binary2,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,dt,8100,behavior14,42,0.9999081894968784,0.9999152518432723,0.9999095099175976,0.9999081894968784,6.565126050420168e-06
round1,Round 1: per-pcap stats + session split,dt,8100,binary2,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,resnet18,4096,behavior14,42,0.9565736320235037,0.9539279354643054,0.9549005071146054,0.9565736320235037,0.0042389611493384
round1,Round 1: per-pcap stats + session split,resnet18,4096,binary2,42,0.998347410943812,0.9983420051248836,0.9983420720342864,0.998347410943812,0.0112970459923099
